mechanism,curatability_category,paper_count,mechanism_total,share_percent
architecture,1_high_curatability,8,73,11.0
architecture,2_operational_curatability,9,73,12.3
architecture,3_partial_curatability,42,73,57.5
architecture,4_low_curatability,14,73,19.2
deployment_system,1_high_curatability,3,80,3.8
deployment_system,2_operational_curatability,12,80,15.0
deployment_system,3_partial_curatability,57,80,71.2
deployment_system,4_low_curatability,8,80,10.0
distillation_compression,1_high_curatability,31,749,4.1
distillation_compression,2_operational_curatability,95,749,12.7
distillation_compression,3_partial_curatability,544,749,72.6
distillation_compression,4_low_curatability,79,749,10.5
domain_specialization,1_high_curatability,1,45,2.2
domain_specialization,2_operational_curatability,10,45,22.2
domain_specialization,3_partial_curatability,31,45,68.9
domain_specialization,4_low_curatability,3,45,6.7
evaluation_analysis,1_high_curatability,35,427,8.2
evaluation_analysis,2_operational_curatability,40,427,9.4
evaluation_analysis,3_partial_curatability,323,427,75.6
evaluation_analysis,4_low_curatability,29,427,6.8
peft_adapter,1_high_curatability,22,482,4.6
peft_adapter,2_operational_curatability,52,482,10.8
peft_adapter,3_partial_curatability,361,482,74.9
peft_adapter,4_low_curatability,47,482,9.8
training_method,1_high_curatability,36,358,10.1
training_method,2_operational_curatability,47,358,13.1
training_method,3_partial_curatability,249,358,69.6
training_method,4_low_curatability,26,358,7.3
