metric,value,notes
audited_rows,200,Expert-reviewed lineage/provenance audit rows.
strict_unique_primary_support,56,28.0% of audited rows.
usable_family_signal_support,158,79.0% of audited rows.
ambiguity_type::high_precision_family_link,43,21.5% of audited rows.
ambiguity_type::usable_multifamily_target_signal,32,16.0% of audited rows.
ambiguity_type::false_negative_named_family,29,14.5% of audited rows.
ambiguity_type::usable_multifamily_unresolved_signal,22,11.0% of audited rows.
ambiguity_type::usable_parent_only_family_signal,18,9.0% of audited rows.
ambiguity_type::false_positive_family_link,13,6.5% of audited rows.
ambiguity_type::usable_parent_only_unresolved_signal,11,5.5% of audited rows.
ambiguity_type::usable_teacher_or_reference_signal,9,4.5% of audited rows.
ambiguity_type::correct_no_family_or_generic_resolution,9,4.5% of audited rows.
ambiguity_type::usable_ambiguous_family_signal,4,2.0% of audited rows.
ambiguity_type::usable_other_or_multifamily_signal,4,2.0% of audited rows.
ambiguity_type::correct_other_noncanonical_family,4,2.0% of audited rows.
ambiguity_type::usable_note_only_family_signal,1,0.5% of audited rows.
ambiguity_type::usable_note_only_unresolved_signal,1,0.5% of audited rows.
