model_repo_type,created_year,repo_count,mean_metadata_completeness_score_0_to_7,has_family_label_percent,has_upstream_model_percent,has_typed_upstream_relation_percent,has_arxiv_reference_percent,has_task_descriptors_percent,has_domain_descriptors_percent,has_license_tag_signal_percent
adapter_lora,2023,2418,2.14,70.0,33.6,33.6,24.7,27.0,12.5,12.2
adapter_lora,2024,11158,3.95,93.8,95.4,95.4,84.2,10.7,3.6,12.2
adapter_lora,2025,8286,4.18,84.0,84.6,84.6,52.7,57.3,17.5,37.2
adapter_lora,2026,13281,4.46,82.1,90.6,90.6,46.1,73.2,11.0,51.9
base,2022,923,1.70,0.0,0.0,0.0,60.9,33.7,9.0,66.2
base,2023,4918,1.22,11.7,0.0,0.0,12.3,35.8,18.1,44.3
base,2024,5337,1.74,34.0,0.0,0.0,39.5,50.1,13.5,36.5
base,2025,23342,2.17,56.4,0.0,0.0,59.6,63.6,18.5,18.8
base,2026,14023,1.60,58.4,0.0,0.0,23.6,38.9,12.9,25.9
finetune,2022,112,3.06,0.0,97.3,97.3,3.6,10.7,8.0,89.3
finetune,2023,1138,3.40,19.7,84.4,84.4,7.2,45.8,14.9,84.1
finetune,2024,4526,3.59,32.7,89.0,89.0,16.3,47.8,16.3,68.1
finetune,2025,17039,4.16,65.8,81.5,81.5,34.5,75.1,22.2,55.2
finetune,2026,14034,3.96,70.9,74.9,74.9,23.9,73.0,16.0,62.0
merge_mixed,2023,374,2.95,59.6,35.8,35.8,7.8,94.7,3.7,58.0
merge_mixed,2024,1746,3.53,49.2,62.3,62.3,19.3,87.4,8.1,64.2
merge_mixed,2025,9936,3.71,78.3,59.5,59.5,39.6,81.5,12.7,39.9
merge_mixed,2026,5342,3.60,70.3,63.7,63.7,22.5,75.4,10.1,54.1
quantized_or_deployment,2022,57,2.12,0.0,22.8,22.8,52.6,15.8,3.5,94.7
quantized_or_deployment,2023,4811,2.86,24.3,36.0,36.0,14.7,92.8,4.0,78.0
quantized_or_deployment,2024,11101,3.16,54.9,40.1,40.1,19.8,83.8,10.8,66.2
quantized_or_deployment,2025,20786,3.70,60.1,69.1,69.1,14.7,78.8,17.1,61.4
quantized_or_deployment,2026,16687,3.61,58.3,68.0,68.0,7.7,80.6,13.2,65.1
