mechanism,provenance_sufficiency_tier,paper_count,mechanism_total,share_percent
architecture,1_exact_paper_hf_repo_edge,2,73,2.7
architecture,3_inventory_backed_family_signal,29,73,39.7
architecture,4_weak_or_context_family_signal,18,73,24.7
architecture,5_no_usable_family_or_provenance_signal,24,73,32.9
deployment_system,1_exact_paper_hf_repo_edge,4,80,5.0
deployment_system,3_inventory_backed_family_signal,41,80,51.2
deployment_system,4_weak_or_context_family_signal,21,80,26.2
deployment_system,5_no_usable_family_or_provenance_signal,14,80,17.5
distillation_compression,1_exact_paper_hf_repo_edge,51,749,6.8
distillation_compression,3_inventory_backed_family_signal,334,749,44.6
distillation_compression,4_weak_or_context_family_signal,156,749,20.8
distillation_compression,5_no_usable_family_or_provenance_signal,208,749,27.8
domain_specialization,1_exact_paper_hf_repo_edge,1,45,2.2
domain_specialization,3_inventory_backed_family_signal,22,45,48.9
domain_specialization,4_weak_or_context_family_signal,15,45,33.3
domain_specialization,5_no_usable_family_or_provenance_signal,7,45,15.6
evaluation_analysis,1_exact_paper_hf_repo_edge,21,427,4.9
evaluation_analysis,3_inventory_backed_family_signal,200,427,46.8
evaluation_analysis,4_weak_or_context_family_signal,120,427,28.1
evaluation_analysis,5_no_usable_family_or_provenance_signal,86,427,20.1
peft_adapter,1_exact_paper_hf_repo_edge,26,482,5.4
peft_adapter,3_inventory_backed_family_signal,203,482,42.1
peft_adapter,4_weak_or_context_family_signal,90,482,18.7
peft_adapter,5_no_usable_family_or_provenance_signal,163,482,33.8
training_method,1_exact_paper_hf_repo_edge,19,358,5.3
training_method,3_inventory_backed_family_signal,180,358,50.3
training_method,4_weak_or_context_family_signal,65,358,18.2
training_method,5_no_usable_family_or_provenance_signal,94,358,26.3
