mechanism,release_package_score,release_package_tier,paper_count,mechanism_total,share_percent
architecture,0,no_explicit_release_signal,29,73,39.7
architecture,1,stated_or_incomplete_release_signal,21,73,28.8
architecture,2,code_or_scripts_or_recipe,13,73,17.8
architecture,3,model_checkpoint_or_adapter,6,73,8.2
architecture,4,multiple_assets_or_complete_recipe,4,73,5.5
deployment_system,0,no_explicit_release_signal,23,80,28.7
deployment_system,1,stated_or_incomplete_release_signal,26,80,32.5
deployment_system,2,code_or_scripts_or_recipe,23,80,28.7
deployment_system,3,data_or_evaluation_assets,1,80,1.2
deployment_system,3,model_checkpoint_or_adapter,4,80,5.0
deployment_system,4,multiple_assets_or_complete_recipe,3,80,3.8
distillation_compression,0,no_explicit_release_signal,305,749,40.7
distillation_compression,1,stated_or_incomplete_release_signal,180,749,24.0
distillation_compression,2,code_or_scripts_or_recipe,199,749,26.6
distillation_compression,3,data_or_evaluation_assets,2,749,0.3
distillation_compression,3,model_checkpoint_or_adapter,42,749,5.6
distillation_compression,4,multiple_assets_or_complete_recipe,21,749,2.8
domain_specialization,0,no_explicit_release_signal,10,45,22.2
domain_specialization,1,stated_or_incomplete_release_signal,17,45,37.8
domain_specialization,2,code_or_scripts_or_recipe,15,45,33.3
domain_specialization,3,model_checkpoint_or_adapter,2,45,4.4
domain_specialization,4,multiple_assets_or_complete_recipe,1,45,2.2
evaluation_analysis,0,no_explicit_release_signal,133,427,31.1
evaluation_analysis,1,stated_or_incomplete_release_signal,156,427,36.5
evaluation_analysis,2,code_or_scripts_or_recipe,74,427,17.3
evaluation_analysis,3,model_checkpoint_or_adapter,37,427,8.7
evaluation_analysis,4,multiple_assets_or_complete_recipe,27,427,6.3
peft_adapter,0,no_explicit_release_signal,136,482,28.2
peft_adapter,1,stated_or_incomplete_release_signal,175,482,36.3
peft_adapter,2,code_or_scripts_or_recipe,122,482,25.3
peft_adapter,3,model_checkpoint_or_adapter,30,482,6.2
peft_adapter,4,multiple_assets_or_complete_recipe,19,482,3.9
training_method,0,no_explicit_release_signal,91,358,25.4
training_method,1,stated_or_incomplete_release_signal,119,358,33.2
training_method,2,code_or_scripts_or_recipe,93,358,26.0
training_method,3,model_checkpoint_or_adapter,30,358,8.4
training_method,4,multiple_assets_or_complete_recipe,25,358,7.0
